Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Africa,,,,,,
Algeria,413,2,153,21,992,"1,581"
Angola,29,0,22,1,12,64
Benin,128,0,27,5,236,396
Botswana,6,0,2,1,2,11
Burkina Faso,88,0,32,25,134,279
Burundi,59,0,12,0,75,146
Cabo Verde,556,1,"1,320",3,2,"1,882"
Cameroon,"1,179",10,475,4,"1,206","2,874"
Central African Republic,18,0,7,0,2,27
Chad,14,0,0,0,10,24
Comoros,0,0,0,0,1,1
"Congo, Dem. Rep. of the",332,1,283,21,"2,664","3,301"
"Congo, Rep. of the",27,0,8,0,42,77
Cote d'Ivoire,397,1,191,0,440,"1,029"
Djibouti,16,0,0,7,32,55
Egypt,"1,884",25,"1,091",187,"3,576","6,763"
Equatorial Guinea,2,0,0,0,0,2
Eritrea,454,1,265,25,81,826
Ethiopia,"4,390",15,"2,174",84,"2,553","9,216"
Gabon,26,0,13,3,11,53
"Gambia, The",433,1,135,4,14,587
Ghana,"3,771",7,"1,625",21,796,"6,220"
Guinea,524,0,120,5,204,853
Guinea-Bissau,14,0,7,0,1,22
Kenya,"1,876",10,529,166,"1,006","3,587"
Lesotho,4,0,0,0,0,4
Liberia,"1,200",7,569,28,994,"2,798"
Libya,339,4,18,7,90,458
Madagascar,10,0,3,7,2,22
Malawi,19,0,1,0,8,28
Mali,158,1,38,1,15,213
Mauritania,78,0,17,0,12,107
Mauritius,11,0,9,1,2,23
Morocco,"1,367",9,313,14,"1,077","2,780"
Western Sahara,0,0,0,0,0,0
Mozambique,10,0,3,0,3,16
Namibia,16,0,2,0,5,23
Niger,79,0,10,17,6,112
Nigeria,"3,831",46,"2,235",201,0,"6,313"
Rwanda,43,0,34,12,158,247
Sao Tome and Principe,5,0,2,0,0,7
Senegal,622,1,171,12,98,904
Seychelles,3,0,0,0,0,3
Sierra Leone,914,1,265,5,340,"1,525"
Somalia,"1,465",1,269,0,56,"1,791"
South Africa,374,5,93,110,209,791
South Sudan,96,1,17,0,6,120
Sudan,556,6,99,9,"1,171","1,841"
Swaziland,2,0,1,1,0,4
Tanzania,144,1,65,24,43,277
Togo,436,2,157,4,504,"1,103"
Tunisia,174,0,17,13,60,264
Uganda,342,2,112,41,91,588
Zambia,82,1,21,2,15,121
Zimbabwe,136,1,45,21,43,246
Region Total For Africa,"29,152",163,"13,077","1,113","19,100","62,605"
Asia,,,,,,
Afghanistan,809,"16,370",333,15,144,"17,671"
Bahrain,14,0,8,5,1,28
Bangladesh,"5,330",10,"6,922",69,0,"12,331"
Bhutan,23,0,7,0,7,37
Brunei,1,0,0,1,0,2
