Foreign State,Immediate Relatives,Special Immigrants,Family Preference,Employment Preference,Diversity Immigrants,Total
Burma,597,5,550,12,145,"1,309"
Cambodia,"2,402",0,682,120,196,"3,400"
China - mainland born,"12,318",39,"14,954","8,039",0,"35,350"
#NAME?,391,6,659,311,148,"1,515"
Hong Kong S.A.R.,214,1,813,84,16,"1,128"
India,"11,568",140,"14,839",756,0,"27,303"
Indonesia,332,6,171,15,37,561
Iran,"2,054",23,"2,062",434,"2,070","6,643"
Iraq,"1,092","2,138",330,15,145,"3,720"
Israel,353,10,102,63,32,560
Japan,"1,048",31,107,154,110,"1,450"
Jordan,"2,337",31,"1,740",72,93,"4,273"
"Korea, North",1,1,1,0,0,3
"Korea, South","1,611",49,935,"2,298",0,"4,893"
Kuwait,205,3,183,32,45,468
Laos,182,0,97,17,0,296
Lebanon,873,3,796,94,40,"1,806"
Malaysia,166,2,161,50,25,404
Maldives,1,0,0,0,0,1
Mongolia,92,5,28,11,90,226
Nepal,"1,690",21,994,170,"3,451","6,326"
Oman,17,1,6,2,6,32
Pakistan,"5,585",68,"6,148",342,0,"12,143"
Philippines,"12,486",168,"13,478","4,278",0,"30,410"
Qatar,42,1,26,8,9,86
Saudi Arabia,350,8,218,42,103,721
Singapore,92,2,57,20,9,180
Sri Lanka,296,5,228,33,154,716
Syria,"1,150",9,"1,177",91,124,"2,551"
Thailand,"1,010",5,261,44,17,"1,337"
Timor-Leste,0,0,0,0,0,0
United Arab Emirates,184,19,190,87,31,511
Vietnam,"9,974",53,"17,991",665,0,"28,719"
Yemen,"3,584",3,"1,550",18,264,"5,419"
Region Total For Asia,"80,474","19,236","88,804","18,467","7,512","214,529"
Europe,,,,,,
Albania,"1,429",7,950,28,"2,430","4,844"
Andorra,0,0,0,0,0,0
Armenia,736,4,306,65,"1,559","2,670"
Austria,29,2,15,7,34,87
Azerbaijan,181,1,54,10,433,679
Belarus,245,2,131,19,792,"1,189"
Belgium,67,2,13,11,36,129
Bosnia and Herzegovina,158,0,132,6,83,379
Bulgaria,429,5,131,23,535,"1,123"
Croatia,43,2,30,8,21,104
Cyprus,10,0,4,5,8,27
Czech Republic,63,2,10,9,19,103
Denmark,47,0,5,6,20,78
Faroe Islands,0,0,0,0,0,0
Greenland,0,0,0,0,0,0
Estonia,25,0,6,1,12,44
Finland,45,0,5,11,23,84
France,411,8,85,115,219,838
French Polynesia,1,0,1,0,0,2
French Southern and Antarctic Lands,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0
St. Barthelemy,0,0,0,0,0,0
Saint Martin,3,0,0,0,0,3
St. Pierre and Miquelon,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Georgia,406,1,133,14,547,"1,101"
Germany,840,13,141,90,263,"1,347"
Great Britain and Northern Ireland,"1,610",17,386,325,0,"2,338"
Anguilla,5,0,8,0,0,13
Bermuda,22,0,7,0,0,29
British Indian Ocean Territory,0,0,0,0,0,0
British Virgin Islands,4,0,5,1,0,10
Cayman Islands,5,0,10,2,0,17
Falkland Islands,0,0,0,0,0,0
Gibraltar,1,0,0,0,0,1
Montserrat,2,0,1,0,0,3
Pitcairn,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0
Turks and Caicos Islands,7,0,2,2,0,11
Greece,239,4,61,24,90,418
Hungary,98,1,36,20,70,225
Iceland,7,1,4,1,9,22
Ireland,120,0,24,14,23,181
Italy,432,5,129,80,209,855
Kazakhstan,137,6,75,23,446,687
Kosovo,286,0,154,0,316,756
Kyrgyzstan,120,0,48,6,220,394
Latvia,110,0,13,4,22,149
Liechtenstein,0,0,0,0,0,0
Lithuania,79,1,29,5,94,208
Luxembourg,2,1,0,0,2,5
Macedonia,215,5,187,5,233,645
Malta,11,0,0,0,0,11
Moldova,171,4,73,18,"1,359","1,625"
Monaco,0,0,0,1,0,1
Montenegro,95,0,73,4,13,185
Netherlands,121,0,13,13,28,175
Aruba,7,0,7,0,0,14
Curacao,10,0,3,0,0,13
Sint Maarten,4,0,4,0,0,8
Northern Ireland (DV only),0,0,0,0,4,4
Norway,41,0,1,2,8,52
Svalbard,0,0,0,0,0,0
Poland,581,12,701,49,282,"1,625"
Portugal,85,2,60,8,13,168
Macau,8,0,22,8,1,39
Romania,425,12,245,25,304,"1,011"
Russia,"1,273",11,444,230,"1,731","3,689"
San Marino,0,0,0,0,0,0
Serbia,147,2,113,15,306,583
Slovakia,40,1,10,6,28,85
Slovenia,14,0,0,4,9,27
Spain,268,8,65,40,84,465
Sweden,133,3,18,14,51,219
Switzerland,61,0,8,7,32,108
Tajikistan,61,4,26,5,413,509
Turkey,584,10,172,137,"1,303","2,206"
Turkmenistan,36,0,21,0,92,149
Ukraine,"1,691",20,983,70,"2,016","4,780"
Uzbekistan,295,12,598,16,"3,195","4,116"
Vatican City,0,0,0,0,0,0
Region Total For Europe,"14,831",191,"6,991","1,612","20,040","43,665"
North America,,,,,,
Antigua and Barbuda,84,0,97,5,1,187
"Bahamas, The",136,0,63,28,3,230
Barbados,75,0,75,4,2,156
Belize,130,1,120,2,3,256
Canada,"1,206",4,321,247,0,"1,778"
Costa Rica,554,2,111,7,12,686
Cuba,"4,264",11,"4,791",4,383,"9,453"
Dominica,163,0,166,5,3,337
Dominican Republic,"19,452",78,"28,667",57,0,"48,254"
El Salvador,"7,998",12,"7,046",49,0,"15,105"
Grenada,134,0,81,10,6,231
Guatemala,"4,045",20,"2,319",13,13,"6,410"
Haiti,"7,577",51,"8,905",161,0,"16,694"
Honduras,"3,241",9,"1,658",12,26,"4,946"
Jamaica,"6,976",18,"5,941",760,0,"13,695"
Mexico,"56,107",33,"27,627",278,0,"84,045"
Nicaragua,"1,237",5,726,12,3,"1,983"
Panama,200,2,128,5,0,335
Saint Kitts and Nevis,65,0,89,0,0,154
Saint Lucia,215,0,150,17,10,392
Saint Vincent and the Grenadines,94,0,60,1,0,155
Trinidad and Tobago,584,4,608,37,14,"1,247"
Region Total For North America,"114,537",250,"89,749","1,714",479,"206,729"
Oceania,,,,,,
Australia,301,8,46,50,337,742
Christmas Island,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0
Fiji,146,1,248,1,212,608
Kiribati,1,0,0,0,0,1
Marshall Islands,10,0,0,0,0,10
"Micronesia, Federated States of",0,0,0,0,0,0
Nauru,0,0,0,0,0,0
New Zealand,86,3,10,17,121,237
Cook Islands,0,0,0,0,0,0
Niue,1,0,0,0,0,1
Tokelau,0,0,0,0,0,0
Palau,3,0,0,0,0,3
Papua New Guinea,5,0,0,0,1,6
Samoa,26,0,8,0,0,34
Solomon Islands,2,0,0,0,0,2
Tonga,33,0,64,0,24,121
Tuvalu,1,0,0,0,0,1
Vanuatu,0,0,0,0,0,0
Region Total for Oceania,615,12,376,68,695,"1,766"
South America,,,,,,
Argentina,292,7,89,60,30,478
Bolivia,307,3,225,11,10,556
Brazil,"2,512",25,533,296,0,"3,366"
Chile,183,0,71,21,13,288
Colombia,"3,631",39,"3,096",82,0,"6,848"
Ecuador,"3,307",39,"2,977",37,0,"6,360"
Guyana,"1,126",2,"2,992",5,2,"4,127"
Paraguay,77,3,29,0,2,111
Peru,"2,379",51,"2,505",62,0,"4,997"
Suriname,30,0,42,0,0,72
Uruguay,76,1,39,7,7,130
Venezuela,901,12,560,259,"1,177","2,909"
Region Total For South America,"14,821",182,"13,158",840,"1,241","30,242"
Worldwide Grand Totals,"254,430","20,034","212,155","23,814","49,067","559,536"
