Foreign State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
Brazil,1317,1373,1240,1491,1530,1223,1184,1961,2710,2512,Immediate Relatives
British Indian Ocean Territory,,,,0,0,0,0,0,0,0,Immediate Relatives
British Virgin Islands,6,4,12,5,10,6,9,6,7,4,Immediate Relatives
Brunei,0,0,1,3,0,3,4,3,5,1,Immediate Relatives
Bulgaria,385,463,457,526,533,577,485,583,648,429,Immediate Relatives
Burkina Faso,15,23,22,46,69,77,49,99,105,88,Immediate Relatives
Burma,347,423,381,530,545,532,353,503,627,597,Immediate Relatives
Burundi,14,11,12,14,20,26,18,41,35,59,Immediate Relatives
Cabo Verde,,,,,,,294,347,634,556,Immediate Relatives
Cambodia,1627,1481,1026,1167,1238,1000,1064,778,1783,2402,Immediate Relatives
Cameroon,260,328,444,494,632,603,622,1062,1308,1179,Immediate Relatives
Canada,1271,1036,1083,1425,1404,1185,815,1465,1527,1206,Immediate Relatives
Cape Verde,514,613,418,467,563,427,,,,,Immediate Relatives
Cayman Islands,5,6,11,5,13,12,6,3,16,5,Immediate Relatives
Central African Republic,3,3,10,11,5,1,5,7,19,18,Immediate Relatives
Chad,6,4,3,9,10,9,8,18,15,14,Immediate Relatives
Chile,279,259,263,266,245,222,139,249,223,183,Immediate Relatives
China - mainland born,14618,10534,13245,14497,15214,11592,11798,15627,17807,12318,Immediate Relatives
China - Taiwan born,845,960,853,713,576,479,314,486,574,391,Immediate Relatives
Christmas Island,0,1,0,0,0,0,0,0,0,0,Immediate Relatives
Cocos Islands,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Colombia,4344,3840,4070,4807,5583,4281,3334,4350,4686,3631,Immediate Relatives
Comoros,0,0,0,0,2,0,2,0,1,0,Immediate Relatives
"Congo, Dem. Rep. of the",74,13,162,250,411,457,417,423,547,332,Immediate Relatives
"Congo, Republic of the",6,123,11,24,22,21,20,29,34,27,Immediate Relatives
Cook Islands,0,0,0,1,0,0,0,1,0,0,Immediate Relatives
Costa Rica,275,289,303,350,401,315,288,500,539,554,Immediate Relatives
Cote d'Ivoire,230,211,142,178,376,283,193,240,365,397,Immediate Relatives
Croatia,82,78,66,67,52,62,35,66,79,43,Immediate Relatives
Cuba,2551,3085,2743,2223,3207,2405,2188,3549,4411,4264,Immediate Relatives
Curacao,,,,2,7,10,7,3,5,10,Immediate Relatives
Cyprus,11,9,29,21,12,22,16,24,27,10,Immediate Relatives
Czech Republic,94,93,80,97,76,53,64,92,83,63,Immediate Relatives
Denmark,60,58,71,72,43,64,40,74,52,47,Immediate Relatives
Djibouti,8,19,11,18,21,10,31,24,34,16,Immediate Relatives
Dominica,188,198,187,159,166,122,115,112,154,163,Immediate Relatives
Dominican Republic,14671,17294,13080,14697,13666,11763,12039,17151,24869,19452,Immediate Relatives
Ecuador,3880,3325,2864,3205,2817,2755,2613,3790,3777,3307,Immediate Relatives
Egypt,1551,1718,2113,1574,3125,1718,1928,1819,3262,1884,Immediate Relatives
El Salvador,3647,4984,4316,4742,3731,4298,4382,5917,8320,7998,Immediate Relatives
Equatorial Guinea,1,3,5,1,5,1,2,3,3,2,Immediate Relatives
Eritrea,234,323,329,293,470,401,376,333,458,454,Immediate Relatives
Estonia,35,33,45,29,25,16,27,26,24,25,Immediate Relatives
Ethiopia,4015,5004,5100,4509,5695,4404,3348,2231,5688,4390,Immediate Relatives
Falkland Islands,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Faroe Islands,,,,0,0,0,0,0,0,0,Immediate Relatives
Fiji,226,357,300,251,263,242,144,220,213,146,Immediate Relatives
Finland,49,62,60,58,47,47,54,56,81,45,Immediate Relatives
France,430,362,445,463,370,400,299,494,508,411,Immediate Relatives
French Guiana,1,4,1,0,,,,,,,Immediate Relatives
French Polynesia,5,4,2,7,4,0,2,2,5,1,Immediate Relatives
French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Gabon,6,12,17,6,18,10,14,22,27,26,Immediate Relatives
"Gambia, The",132,151,175,196,265,196,216,329,443,433,Immediate Relatives
Georgia,150,227,322,358,334,352,257,444,450,406,Immediate Relatives
Germany,1320,1240,1311,1271,1318,1345,1064,1119,1035,840,Immediate Relatives
Ghana,3192,1601,1794,1640,4597,3409,2040,2144,3263,3771,Immediate Relatives
Gibraltar,1,2,1,1,0,3,2,1,1,1,Immediate Relatives
Great Britain and Northern Ireland,1644,1703,1670,1665,1757,1927,1687,1895,1987,1610,Immediate Relatives
Greece,122,140,154,295,347,446,235,233,350,239,Immediate Relatives
Greenland,0,0,0,1,0,0,0,0,0,0,Immediate Relatives
Grenada,126,125,104,126,119,120,78,129,130,134,Immediate Relatives
Guadeloupe,8,12,1,0,,,,,,,Immediate Relatives
Guatemala,6446,3083,2099,2060,1878,1984,2288,3381,4253,4045,Immediate Relatives
Guinea,89,126,130,184,276,212,228,319,542,524,Immediate Relatives
Guinea-Bissau,8,4,11,12,15,18,10,15,8,14,Immediate Relatives
Guyana,1656,1659,1517,1828,1577,1246,1044,1268,1494,1126,Immediate Relatives
Haiti,5972,7389,7206,7717,8065,5492,4143,5772,10217,7577,Immediate Relatives
Honduras,1994,1528,2016,1468,2353,2634,2151,2842,5271,3241,Immediate Relatives
Hong Kong S.A.R.,230,220,214,232,206,206,166,225,321,214,Immediate Relatives
Hungary,151,148,123,153,114,114,101,153,121,98,Immediate Relatives
Iceland,14,30,17,18,19,14,12,15,19,7,Immediate Relatives
India,10524,13019,12039,12067,12243,12091,10467,13406,14815,11568,Immediate Relatives
Indonesia,296,364,352,453,406,364,250,392,424,332,Immediate Relatives
Iran,2571,2626,3053,2625,2743,1928,1888,2087,2283,2054,Immediate Relatives
Iraq,709,800,540,573,609,424,365,572,958,1092,Immediate Relatives
Ireland,151,144,213,210,149,169,145,173,191,120,Immediate Relatives
Israel,436,318,287,422,330,356,308,344,435,353,Immediate Relatives
Italy,351,346,322,368,385,398,452,542,577,432,Immediate Relatives
Jamaica,4513,6805,5193,5697,5870,5614,4756,5026,9629,6976,Immediate Relatives
Japan,1481,1504,1473,1446,1179,985,875,1304,1318,1048,Immediate Relatives
Jordan,1600,1869,1644,1929,2155,1993,1982,1704,2975,2337,Immediate Relatives
Kazakhstan,535,479,346,279,201,182,136,203,183,137,Immediate Relatives
Kenya,530,665,660,545,993,1324,1186,1213,1434,1876,Immediate Relatives
Kiribati,3,1,1,1,3,0,0,0,0,1,Immediate Relatives
"Korea, North",18,14,9,4,5,3,1,5,4,1,Immediate Relatives
"Korea, South",2445,2363,2018,1892,1782,1251,1386,1607,1638,1611,Immediate Relatives
Kosovo,35,434,410,419,371,317,221,355,392,286,Immediate Relatives
Kuwait,173,199,170,186,184,168,184,172,272,205,Immediate Relatives
Kyrgyzstan,167,108,112,113,109,67,70,166,137,120,Immediate Relatives
Laos,68,101,106,103,152,116,98,140,183,182,Immediate Relatives
Latvia,77,77,83,105,129,129,105,225,123,110,Immediate Relatives
Lebanon,1037,997,921,968,746,768,849,811,969,873,Immediate Relatives
Lesotho,2,3,14,12,7,7,2,4,7,4,Immediate Relatives
Liberia,652,494,603,682,851,741,694,697,964,1200,Immediate Relatives
Libya,96,88,98,154,79,86,147,211,248,339,Immediate Relatives
Liechtenstein,0,3,0,0,0,0,0,1,0,0,Immediate Relatives
Lithuania,107,141,86,128,107,85,67,107,100,79,Immediate Relatives
Luxembourg,4,6,1,4,3,10,2,4,2,2,Immediate Relatives
Macau,7,13,13,11,12,13,8,5,10,8,Immediate Relatives
Macedonia,344,387,326,321,307,240,189,283,295,215,Immediate Relatives
Madagascar,6,14,15,16,12,19,11,12,9,10,Immediate Relatives
Malawi,13,23,18,20,21,24,8,18,13,19,Immediate Relatives
Malaysia,176,150,163,178,172,141,129,165,242,166,Immediate Relatives
Maldives,1,1,0,1,1,0,0,3,1,1,Immediate Relatives
Mali,42,40,54,68,90,104,72,133,147,158,Immediate Relatives
Malta,7,14,2,5,7,3,4,4,10,11,Immediate Relatives
Marshall Islands,6,25,19,20,16,18,30,21,11,10,Immediate Relatives
Martinique,6,3,0,0,,,,,,,Immediate Relatives
Mauritania,15,22,21,38,53,39,48,73,65,78,Immediate Relatives
Mauritius,5,7,3,10,10,12,9,15,9,11,Immediate Relatives
Mayotte,,,,0,0,0,,,,,Immediate Relatives
Mexico,64376,42042,43340,36237,44049,37436,36300,50835,63764,56107,Immediate Relatives
"Micronesia, Federated States of",0,0,0,1,0,1,0,0,3,0,Immediate Relatives
Moldova,160,138,127,181,132,163,110,199,228,171,Immediate Relatives
Monaco,0,0,2,1,0,1,1,4,1,0,Immediate Relatives
Mongolia,79,91,74,81,65,71,68,96,110,92,Immediate Relatives
Montenegro,116,143,107,121,144,112,69,110,138,95,Immediate Relatives
Montserrat,3,4,5,2,7,2,4,4,2,2,Immediate Relatives
Morocco,1055,1308,1399,1508,1544,1278,1121,1556,2013,1367,Immediate Relatives
Mozambique,5,8,18,12,16,9,5,10,13,10,Immediate Relatives
Namibia,6,3,8,7,7,9,4,10,7,16,Immediate Relatives
Nauru,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Nepal,279,408,642,836,990,1026,893,1618,2167,1690,Immediate Relatives
Netherlands,147,150,134,168,125,110,98,215,175,121,Immediate Relatives
Netherlands Antilles,15,21,11,3,,,,,,,Immediate Relatives
New Caledonia,0,2,0,0,0,0,1,1,1,0,Immediate Relatives
New Zealand,153,150,164,152,126,141,102,165,139,86,Immediate Relatives
Nicaragua,1368,1409,1156,1201,1174,1046,906,1294,1420,1237,Immediate Relatives
Niger,19,9,9,18,37,25,43,55,83,79,Immediate Relatives
Nigeria,4333,4467,4194,3774,5311,4402,3244,4209,6225,3831,Immediate Relatives
Niue,0,0,0,0,0,0,0,0,0,1,Immediate Relatives
Norfolk Island,,,,0,0,0,0,0,0,0,Immediate Relatives
Northern Ireland (DV only),-,0,0,0,0,0,0,0,0,0,Immediate Relatives
Norway,56,55,77,69,39,49,31,60,61,41,Immediate Relatives
Oman,9,8,11,7,4,9,8,10,10,17,Immediate Relatives
Pakistan,5564,5914,5161,4961,5158,4452,5335,6637,7440,5585,Immediate Relatives
Palau,3,2,6,3,1,0,0,2,0,3,Immediate Relatives
Panama,349,387,288,289,256,231,155,214,210,200,Immediate Relatives
Papua New Guinea,3,2,6,3,3,8,5,3,3,5,Immediate Relatives
Paraguay,93,88,76,120,69,55,63,93,82,77,Immediate Relatives
Peru,3306,2945,2810,2880,2994,2349,1900,2832,3284,2379,Immediate Relatives
Philippines,15253,19100,16537,15436,16795,15673,12605,16997,15875,12486,Immediate Relatives
Pitcairn,0,0,0,0,0,0,0,0,0,0,Immediate Relatives
Poland,686,746,676,705,618,558,477,738,781,581,Immediate Relatives
Portugal,78,100,84,106,91,90,49,92,94,85,Immediate Relatives
Qatar,23,32,38,36,34,44,33,49,79,42,Immediate Relatives
